title,genres,overview,director,production_companies
Toy Story,"['Animation', 'Comedy', 'Family']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",John Lasseter,['Pixar Animation Studios']
Grumpier Old Men,"['Romance', 'Comedy']","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Howard Deutch,"['Warner Bros.', 'Lancaster Gate']"
Father of the Bride Part II,['Comedy'],"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Charles Shyer,"['Sandollar Productions', 'Touchstone Pictures']"
GoldenEye,"['Adventure', 'Action', 'Thriller']",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,Martin Campbell,"['United Artists', 'Eon Productions']"
Balto,"['Family', 'Animation', 'Adventure']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']"
Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",Steve Oedekerk,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']"
Get Shorty,"['Comedy', 'Thriller', 'Crime']","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Barry Sonnenfeld,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']"
Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",Chris Noonan,"['Universal Pictures', 'Kennedy Miller Productions']"
Mortal Kombat,"['Action', 'Fantasy']","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Paul W.S. Anderson,"['New Line Cinema', 'Threshold Entertainment']"
Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",Mike Gabriel,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
